liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.001915000000,2,100
2048,0.003460000000,2,100
4096,0.006860000000,1,100
8192,0.013420000000,1,50
12288,0.018140000000,1,50
16384,0.020371428571,1,35
24576,0.033400000000,1,20
32768,0.044900000000,1,20
