liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.002520000000,2,100
2048,0.004660000000,2,100
4096,0.008970000000,1,100
8192,0.013580000000,1,50
12288,0.027820000000,1,50
16384,0.033371428571,1,35
24576,0.042250000000,1,20
32768,0.066000000000,1,20
