liczba danych, czas [ms], liczba testów
1024,0.004012000000,500
2048,0.007784000000,250
4096,0.017400000000,100
8192,0.039680000000,50
12288,0.051260000000,50
16384,0.079866666667,30
24576,0.109300000000,10
32768,0.150200000000,10
