liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.001083000000,10,100
2048,0.001926000000,10,100
4096,0.003272000000,10,100
8192,0.008950000000,10,50
12288,0.008988000000,10,50
16384,0.014877142857,10,35
24576,0.026450000000,10,20
32768,0.027125000000,10,20
4096,0.003370000000,1,100
