liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.002590000000,2,100
2048,0.005410000000,2,100
4096,0.011870000000,1,100
8192,0.017900000000,1,50
12288,0.034380000000,1,50
16384,0.038085714286,1,35
24576,0.047800000000,1,20
32768,0.075750000000,1,20
2048,0.005250000000,2,100
