liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.006344117647,100,102
2048,0.012545882353,100,204
4096,0.025602567237,100,409
8192,0.049166214896,100,819
12288,0.077411530945,50,1228
16384,0.101793516484,50,1638
24576,0.154574033374,20,2457
32768,0.213061401099,20,3276
