liczba danych, czas [ms], liczba testów
1024,0.000236000000,500
2048,0.000176000000,250
4096,0.000340000000,100
8192,0.000260000000,50
12288,0.000280000000,50
16384,0.000300000000,30
24576,0.000300000000,10
32768,0.000300000000,10
2048,0.000216000000,250
