liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.002610000000,2,100
2048,0.004420000000,2,100
4096,0.010070000000,1,100
8192,0.013560000000,1,50
12288,0.027820000000,1,50
16384,0.030914285714,1,35
24576,0.042950000000,1,20
32768,0.070350000000,1,20
