liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.006461274510,100,102
2048,0.012966029412,100,204
4096,0.027382811736,100,409
8192,0.052507094017,100,819
12288,0.078072182410,50,1228
16384,0.109240415140,50,1638
24576,0.158151098901,20,2457
32768,0.206167994505,20,3276
2048,0.013188578431,100,204
