liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.013722254902,100,102
2048,0.028935637255,100,204
4096,0.053641540342,100,409
8192,0.106701208791,100,819
12288,0.168516254072,50,1228
16384,0.221814358974,50,1638
24576,0.329051465201,20,2457
32768,0.448990170940,20,3276
