liczba danych, czas [ms], liczba testów
1024,0.000248000000,500
2048,0.000384000000,250
4096,0.000330000000,200
8192,0.000320000000,50
12288,0.000340000000,50
16384,0.000366666667,30
24576,0.000500000000,10
32768,0.000500000000,10
