liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.001070686275,100,102
2048,0.002045686275,100,204
4096,0.004001271394,100,409
8192,0.007818315018,100,819
12288,0.012072182410,100,1228
16384,0.016010769231,50,1638
24576,0.025917338217,20,2457
32768,0.031995451770,20,3276
