liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.006398529412,100,102
2048,0.013268872549,100,204
4096,0.025798288509,100,409
8192,0.051863553114,100,819
12288,0.079511416938,50,1228
16384,0.107574383394,50,1638
24576,0.157933821734,20,2457
32768,0.208276282051,20,3276
