liczba danych, czas [ms], liczba testów
1024,0.000336000000,500
2048,0.000352000000,250
4096,0.000310000000,100
8192,0.000340000000,50
12288,0.000360000000,50
16384,0.000440000000,25
24576,0.000400000000,10
