liczba danych, czas [ms], liczba testów
1024,0.000256000000,500
2048,0.000164000000,250
4096,0.000230000000,100
8192,0.000233333333,30
12288,0.000260000000,50
16384,0.000280000000,25
24576,0.000300000000,10
32768,0.000300000000,10
