liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.001114705882,100,102
2048,0.002040343137,100,204
4096,0.004029706601,100,409
8192,0.007784456654,100,819
12288,0.012021123779,50,1228
16384,0.016215641026,50,1638
24576,0.023956735857,20,2457
32768,0.032041437729,20,3276
