liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.002640000000,2,100
2048,0.003285000000,2,100
4096,0.006340000000,1,100
8192,0.012460000000,1,50
12288,0.015720000000,1,50
16384,0.023228571429,1,35
24576,0.026200000000,1,20
32768,0.048700000000,1,20
