liczba danych, czas [ms], liczba testów
1024,0.000238000000,500
2048,0.000276000000,250
4096,0.000160000000,100
8192,0.000180000000,50
12288,0.000220000000,50
16384,0.000233333333,30
24576,0.000200000000,10
32768,0.000300000000,10
