liczba danych, czas [ms], liczba testów
1024,0.002168000000,500
2048,0.004014000000,1000
4096,0.007929000000,1000
8192,0.015712000000,1000
12288,0.023766000000,1000
16384,0.031737000000,1000
24576,0.047156000000,1000
32768,0.063328000000,1000
