liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.001400000000,2,100
2048,0.002690000000,2,100
4096,0.003934000000,10,100
8192,0.007992000000,10,50
12288,0.009072000000,10,50
16384,0.013308571429,10,35
24576,0.024070000000,10,20
32768,0.030635000000,10,20
