liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.002920000000,2,100
2048,0.005435000000,2,100
4096,0.010160000000,1,100
8192,0.018900000000,1,50
12288,0.034860000000,1,50
16384,0.040600000000,1,35
24576,0.054300000000,1,20
32768,0.065300000000,1,20
