liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.013330000000,100,102
2048,0.025914362745,100,204
4096,0.052946821516,100,409
8192,0.103473247863,100,819
12288,0.160662442997,50,1228
16384,0.238840671551,50,1638
24576,0.334241798942,20,2457
32768,0.446913751526,20,3276
