liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.001245000000,2,100
2048,0.002645000000,2,100
4096,0.004224000000,10,100
8192,0.008590000000,10,50
12288,0.009800000000,10,50
16384,0.014540000000,10,35
24576,0.028350000000,10,20
32768,0.034005000000,10,20
