liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.001525000000,2,100
2048,0.002690000000,2,100
4096,0.004430000000,1,100
8192,0.008540000000,1,50
12288,0.010180000000,1,50
16384,0.015342857143,1,35
24576,0.020450000000,1,20
32768,0.027950000000,1,20
