liczba danych, czas [ms], liczba testów
1024,0.000194000000,500
2048,0.000128000000,250
4096,0.000150000000,100
8192,0.000166666667,30
12288,0.000260000000,50
16384,0.000160000000,25
24576,0.000200000000,10
32768,0.000200000000,10
