liczba danych, czas [ms], liczba testów
1024,0.004444000000,500
2048,0.009316000000,250
4096,0.032500000000,100
8192,0.058333333333,30
12288,0.088000000000,50
16384,0.106880000000,25
24576,0.133000000000,10
32768,0.17300000000,10
