liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.001087000000,10,100
2048,0.002058000000,10,100
4096,0.003636000000,10,100
8192,0.009350000000,10,50
12288,0.009602000000,10,50
16384,0.016051428571,10,35
24576,0.028020000000,10,20
32768,0.029840000000,10,20
