liczba danych, czas [ms], liczba testów, liczba wartości szukanych w każdym teście
1024,0.006527450980,10,102
2048,0.012462500000,100,204
4096,0.026026046455,1000,409
8192,0.050491391941,100,819
16384,0.109077637363,100,1638
32768,0.219718150183,100,3276
12288,0.078473957655,50,1228
24576,0.151909279609,50,2457
