liczba danych, czas [ms], liczba testów
1024,0.003869000000,1000
2048,0.007531000000,1000
4096,0.015085000000,1000
8192,0.039240000000,100
16384,0.076070000000,100
32768,0.156400000000,50
12288,0.062000000000,10
24576,0.115100000000,10
